Topic,Top Words and Probabilities
Topic 0,"seats (0.010180), business (0.009163), seat (0.009100), would (0.007781), class (0.007760), heathrow (0.007310), london (0.007218), hours (0.006572), could (0.005442), back (0.005257)"
Topic 1,"good (0.011796), class (0.010948), business (0.010430), london (0.009836), food (0.009505), service (0.007208), time (0.007207), crew (0.007081), one (0.006599), first (0.006505)"
Topic 2,"service (0.012695), british (0.007828), airways (0.007596), cabin (0.007549), crew (0.007007), london (0.006953), time (0.006737), food (0.006241), get (0.006093), bag (0.006000)"
Topic 3,"crew (0.015235), food (0.009375), class (0.008450), cabin (0.008264), seat (0.007713), service (0.007642), good (0.005005), entertainment (0.004919), economy (0.004769), heathrow (0.004695)"
Topic 4,"customer (0.012476), british (0.011260), service (0.011194), airways (0.010948), told (0.009048), us (0.008559), refund (0.008154), get (0.007868), hours (0.007637), would (0.007500)"
Topic 5,"good (0.021425), food (0.013632), seats (0.011815), time (0.011529), seat (0.011133), service (0.008904), lounge (0.008696), crew (0.007621), class (0.007614), staff (0.007604)"
Topic 6,"crew (0.011121), london (0.009474), cabin (0.009193), service (0.009025), time (0.008034), seats (0.007335), seat (0.007219), meal (0.006751), one (0.006737), staff (0.006143)"
Topic 7,"good (0.011162), seat (0.009292), time (0.008352), hours (0.006852), food (0.006087), club (0.005907), boarding (0.005826), class (0.005661), seats (0.005545), us (0.005149)"
Topic 8,"service (0.013585), class (0.008211), business (0.007885), one (0.007503), airline (0.006899), us (0.006727), staff (0.006193), time (0.006123), food (0.006076), london (0.005911)"
Topic 9,"airport (0.009476), one (0.006599), staff (0.006019), us (0.005686), hours (0.005204), check (0.005066), time (0.004960), hour (0.004775), crew (0.004583), back (0.004499)"
